発問ペア,,,,,,,,
番号,発問,模範解答,タイプ,解答者 (QzyYDcSSX5orH6pC) の解答,評価,,,
3-13-1,アルゴリズムとプログラムの違いは何ですか,アルゴリズムは問題を解決するための方法や手順のことで、アルゴリズムをコンピュータが実行できる形式にしたものがプログラ ムである ,記述,構想と実装,不十分 : 3,,,
3-13-2,アルゴリズムの基本構造のひとつである反復とはどのような処理ですか,反復はある条件が満たされている間はその処理を繰り返し実行する手順である,箇条書き,繰り返し処理,異なる修飾 : 6,,,
3-13-3,アルゴリズムの基本構造のひとつである分岐とはどのような処理ですか,分岐はある条件に応じて異なる処理を実行するものである,表,設定条件に大した応答処理,異なる修飾 : 6,,,
3-13-4,分岐と反復の処理を組み合わせたらどのような処理が可能となりますか,繰り返していく中である条件を満たす場合だけ特定の処理を行うことが可能となる,記述,文字入力,矛盾 : 4,,,
3-13-5,アルゴリズムをわかりやすく表現するにはどうしたら良いですか,流れ図などを用いて図式化するとわかりやすい,記述,フロチャートや状態遷移など流れを視覚的に表現する,異なる修飾 : 6,,,
3-14-1,プログラムにおけるリストとはどのようなものですか,リストとは複数の値を1つの名前と番号によって管理する仕組みのことである,記述,データ同士が連結されて前後を参照できる構造,不十分 : 3,,,
3-14-2,プログラムの中で乱数を用いるとどのような処理が可能となりますか,実行するたびに振る舞いが異なる処理が可能となり、現実世界のシミュレーションなどに活用できる,記述,実行するたびに変則的な処理を可能にする,異なる修飾 : 6,,,
3-14-3,プログラムを記述する際、なぜ関数という仕組みを用いるのですか,システム開発で記述されるプログラムはコードの長さが膨大となるため、関数を用いてプログラムを機能ごとに整理、構造化する ため ,記述,可読性，再利用性を上げるため,矛盾 : 4,,,
3-14-4,APIとは何ですか,関数に似たものであり、ボタンを押したらウィンドウが開くなど共通した処理を提供するものである,記述,汎用的処理をアプリケーションとして作成されたもの,不十分 : 3,,,
3-14-5,WebAPIとは何ですか,インターネット上のサービスやビッグデータへのWeb通信を利用したアクセス機能を提供しているAPIのことである,記述,インターネットサービスやビックデータの通信を利用したアクセス機能を提供しているAPI,正解 : 7,,,
3-15-1,線型探索とはどのようなアルゴリズムですか,リストの先頭から順番に値を比較していき、探索値に一致するデータを探し出すアルゴリズムである,記述,リストの先頭から探索値と比較して一致するデータを探す手法,正解 : 7,,,
3-15-2,二分探索とはどのようなアルゴリズムですか,リストの中から探索範囲を半分づつ狭めながら目的とするデータを探し出すアルゴリズムである,記述,リストの探索範囲を半分づつ狭めて探索値を探す手法,正解 : 7,,,
3-15-3,線型探索でのデメリットは何ですか,左側から探索を行う線形探索では探索値が左側にあるか右側にあるかで探索時間が大きく変わるため、データが多くなると探索に 時間がかかる ,記述,データ数が多いほど探索時間がかかる可能性が高い,異なる修飾 : 6,,,
3-15-4,クイックソートとはどのようなアルゴリズムですか,クイックソートはリスト内の1つのデータを軸として大小に分割した後、分割したデータに対して同じ処理を行うことで並び替えを 実現するアルゴリズムである ,記述,リスト内で基準値を決めて大小の二つに分割する処理を繰り返してソートする手法,不十分 : 3,,,
3-15-5,クイックソートはどのような場合で選択ソートよりも処理の時間が長くなりますか,クイックソートはデータが逆順に並んでいる場合に選択ソートよりも処理の時間がかかることがある,記述,逆順にならんでいる,正解 : 7,,,
3-16-1,モデルとは何ですか,モデルとは事物や現象の本質的な形状や規則性を抽象化してより単純化したもののことである,記述,事象や現象の本質的な形状や法則性を抽象化，単純化したもの,正解 : 7,,,
3-16-2,モデルには大きく分けてどのような分類がありますか,時間的要素を含まないモデルを静的モデル、時間的要素を含むものを動的モデルという,記述,静的モデル，動的モデル,異なる修飾 : 6,,,
3-16-3,Pythonの標準的なライブラリであるmatplotlibとはどのようなものですか,Matplotlibは計算結果などをわかりやすくグラフで表現するライブラリである,記述,グラフ描画を行うライブラリ,異なる修飾 : 6,,,
3-16-4,モンテカルロ法とは何ですか,対象のモデルに乱数を大量に生成して入力し、近似解を得る手法である,記述,対象のモデルに乱数を大量生成して入力して近似解を得る手法,正解 : 7,,,
