発問ペア,,,,,,,,
番号,発問,模範解答,タイプ,解答者 (Kya7oBD4Ki92Be64) の解答,評価,,,
3-13-1,アルゴリズムとプログラムの違いは何ですか,アルゴリズムは問題を解決するための方法や手順のことで、アルゴリズムをコンピュータが実行できる形式にしたものがプログラ ムである ,記述,アルゴリズムは問題を解決するための方法や手段であり，アルゴリズムをコンピューターが実行できる形で表したものをプログラムという．,正解 : 7,,,
3-13-2,アルゴリズムの基本構造のひとつである反復とはどのような処理ですか,反復はある条件が満たされている間はその処理を繰り返し実行する手順である,箇条書き,ある条件が満たされている間に繰り返し実行する処理,異なる修飾 : 6,,,
3-13-3,アルゴリズムの基本構造のひとつである分岐とはどのような処理ですか,分岐はある条件に応じて異なる処理を実行するものである,表,条件に応じて処理を選択し実行するもの,異なる修飾 : 6,,,
3-13-4,分岐と反復の処理を組み合わせたらどのような処理が可能となりますか,繰り返していく中である条件を満たす場合だけ特定の処理を行うことが可能となる,記述,繰り返していく中である条件を満たす場合のみ特定の処理を行うことが可能となる,正解 : 7,,,
3-13-5,アルゴリズムをわかりやすく表現するにはどうしたら良いですか,流れ図などを用いて図式化するとわかりやすい,記述,フローチャートを使って表す,不十分 : 3,,,
3-14-1,プログラムにおけるリストとはどのようなものですか,リストとは複数の値を1つの名前と番号によって管理する仕組みのことである,記述,複数の値を一つの名前と番号によって管理する仕組みである,正解 : 7,,,
3-14-2,プログラムの中で乱数を用いるとどのような処理が可能となりますか,実行するたびに振る舞いが異なる処理が可能となり、現実世界のシミュレーションなどに活用できる,記述,実行するたびに処理内容が変わるような変則的なプログラムを作成することができる,不十分 : 3,,,
3-14-3,プログラムを記述する際、なぜ関数という仕組みを用いるのですか,システム開発で記述されるプログラムはコードの長さが膨大となるため、関数を用いてプログラムを機能ごとに整理、構造化する ため ,記述,プログラムを機能ごとに整理，構造化できるようにするため,異なる修飾 : 6,,,
3-14-4,APIとは何ですか,関数に似たものであり、ボタンを押したらウィンドウが開くなど共通した処理を提供するものである,記述,プログラムの共通している処理について関数に近い形で提供されているサービス,正解 : 7,,,
3-14-5,WebAPIとは何ですか,インターネット上のサービスやビッグデータへのWeb通信を利用したアクセス機能を提供しているAPIのことである,記述,Webの通信を利用したアクセス機能を提供しているAPIのこと,異なる修飾 : 6,,,
3-15-1,線型探索とはどのようなアルゴリズムですか,リストの先頭から順番に値を比較していき、探索値に一致するデータを探し出すアルゴリズムである,記述,リストを先頭から順に比較しながら探索値に一致するデータを探し出す探索方法,正解 : 7,,,
3-15-2,二分探索とはどのようなアルゴリズムですか,リストの中から探索範囲を半分づつ狭めながら目的とするデータを探し出すアルゴリズムである,記述,リストの中から探索範囲を半分ずつ狭めながら目的のデータを探し出す探索方法,正解 : 7,,,
3-15-3,線型探索でのデメリットは何ですか,左側から探索を行う線形探索では探索値が左側にあるか右側にあるかで探索時間が大きく変わるため、データが多くなると探索に 時間がかかる ,記述,データが多い場合は時間がかかること,不十分 : 3,,,
3-15-4,クイックソートとはどのようなアルゴリズムですか,クイックソートはリスト内の1つのデータを軸として大小に分割した後、分割したデータに対して同じ処理を行うことで並び替えを 実現するアルゴリズムである ,記述,リスト内の一つのデータを軸として大小2つに二分し分割したデータに対して同じ処理を行うことで並べ替えをするアルゴリズム,正解 : 7,,,
3-15-5,クイックソートはどのような場合で選択ソートよりも処理の時間が長くなりますか,クイックソートはデータが逆順に並んでいる場合に選択ソートよりも処理の時間がかかることがある,記述,逆順に並べ変えられている場合などの比較を行う回数が膨大なとき,正解 : 7,,,
3-16-1,モデルとは何ですか,モデルとは事物や現象の本質的な形状や規則性を抽象化してより単純化したもののことである,記述,物事や現象の本質的な形状や法則性を抽象化して，より単純化したもの,正解 : 7,,,
3-16-2,モデルには大きく分けてどのような分類がありますか,時間的要素を含まないモデルを静的モデル、時間的要素を含むものを動的モデルという,記述,縮尺モデル，数式モデル，図的モデル,矛盾 : 4,,,
3-16-3,Pythonの標準的なライブラリであるmatplotlibとはどのようなものですか,Matplotlibは計算結果などをわかりやすくグラフで表現するライブラリである,記述,グラフ描画ツール,異なる修飾 : 6,,,
3-16-4,モンテカルロ法とは何ですか,対象のモデルに乱数を大量に生成して入力し、近似解を得る手法である,記述,対象のモデルに乱数を大量に生成して入力し，近似解を得ようとする手法,正解 : 7,,,
3-16-5,Pythonで整数の乱数を得るにはどうしたら良いですか,randint関数を用いる,記述,モンテカルロ法をつかう,矛盾 : 4,,,
3-17-1,物体の放物運動など自然現象をモデル化するにはどのような知識が必要ですか,数学や物理の知識が必要である,記述,数学や物理の知識,正解 : 7,,,
3-17-2,変数表とは何ですか,プログラム中に用いる変数と諸条件をわかりやすくするために、変数名やその意味をまとめた表である,記述,プログラム中に用いる変数と諸条件の対応をわかりやすくまとめた表,異なる修飾 : 6,,,
3-17-3,ランダムウォークとはどのような時に用いられるモデルですか,ブラウン運動や株価の変動など不確実な現象のシミュレーションに用いられる,記述,不確実な現象のシミュレーションに用いるモデル,異なる修飾 : 6,,,
3-17-4,生物の個体数が制約条件の中で増加する際、グラフはどのような曲線になりますか,環境収容力に収束するS字曲線であるロジスティック曲線となる,記述,ロジスティック曲線,異なる修飾 : 6,,,
3-17-5,ランダムウォークは近年どのようなことに活用されていますか,でたらめな行動をする生物や人間の行動を分析するためのシミュレーションや、機械学習によく活用されている,記述,機械学習,欠如 : 5,,,
4-18-1,通信の規定を定めたプロトコルにはどのような層に分けて考えられていますか,プロトコルは上位の層からアプリケーション層、トランスポート層、インターネット層、ネットワークインタフェース層に分けら れる ,図,4層レイヤ,不十分 : 3,,,
4-18-2,有線LANと無線LANの違いは何ですか,有線LANは通信上のネットワークインタフェースがEthernetの電気信号であり、無線LANは電波である,記述,物理的な違い,不十分 : 3,,,
4-18-3,無線LANの認証方式にはどのようなものがありますか,認証方式にはWEP、WPA、WPA2、WPA3がある,表,WEPやWPAなど,欠如 : 5,,,
4-18-4,無線LANでの通信におけるデメリットは何ですか,電波でデータを伝搬するため傍受することが容易なのがデメリットである,記述,傍受することが容易であること,異なる修飾 : 6,,,
4-18-5,WPA3の暗号化方式と暗号化アルゴリズムには何が使われていますか,WPA3の暗号化方式にはSAEが使われ、暗号化アルゴリズムにはCNSAが用いられる,表,SAEとCNSA,異なる修飾 : 6,,,
